!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:29:15 2026

BEGIN CH1_DATA
DCV(V), +2.506e-004, DCI(A), +4.021e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+4.09898400000e+003, +2.56969594903e+000, +8.93468363130e+001, +9.97694155376e-005, +2.92935315858e-002
+4.12905600000e+003, +2.58883779938e+000, +8.93422037079e+001, +9.97804774293e-005, +2.97210459552e-002
+4.15934800000e+003, +2.60785072062e+000, +8.93415526705e+001, +9.97812459590e-005, +2.99689534083e-002
+4.18986200000e+003, +2.62688477749e+000, +8.93436711023e+001, +9.97775743858e-005, +3.00905703606e-002
+4.22060000000e+003, +2.64549992404e+000, +8.93549906761e+001, +9.97530470114e-005, +2.97811826622e-002
+4.25156400000e+003, +2.66416319464e+000, +8.93666996956e+001, +9.97253811500e-005, +2.94468636524e-002
+4.28275400000e+003, +2.68317887516e+000, +8.93781039286e+001, +9.97059429732e-005, +2.91230113469e-002
+4.31417400000e+003, +2.70245674430e+000, +8.93881294050e+001, +9.96911167244e-005, +2.88594099018e-002
+4.34582400000e+003, +2.72183571778e+000, +8.93945530869e+001, +9.96748656363e-005, +2.87612172975e-002
+4.37770600000e+003, +2.74169886922e+000, +8.94023735846e+001, +9.96711955553e-005, +2.85969048803e-002
+4.40982300000e+003, +2.76191171433e+000, +8.94094649968e+001, +9.96748745077e-005, +2.84659128521e-002
+4.44217400000e+003, +2.78215750357e+000, +8.94139136314e+001, +9.96743831785e-005, +2.84585734927e-002
+4.47476400000e+003, +2.80267927720e+000, +8.94167628253e+001, +9.96783630607e-005, +2.85291260068e-002
+4.50759200000e+003, +2.82319926707e+000, +8.94210461595e+001, +9.96769849386e-005, +2.85269570879e-002
+4.54066100000e+003, +2.84384771155e+000, +8.94200270706e+001, +9.96747461907e-005, +2.87861782462e-002
+4.57397300000e+003, +2.86467627594e+000, +8.94143481468e+001, +9.96734288115e-005, +2.92809308072e-002
+4.60752900000e+003, +2.88561617491e+000, +8.94073083605e+001, +9.96706708285e-005, +2.98494949266e-002
+4.64133100000e+003, +2.90682224779e+000, +8.94050264097e+001, +9.96718799138e-005, +3.01846209519e-002
+4.67538100000e+003, +2.92807769699e+000, +8.94005259766e+001, +9.96694241490e-005, +3.06353191699e-002
+4.70968100000e+003, +2.94969430378e+000, +8.94004724964e+001, +9.96739967904e-005, +3.08642382905e-002
+4.74423300000e+003, +2.97158597792e+000, +8.94006928080e+001, +9.96824408322e-005, +3.10818770444e-002
+4.77903800000e+003, +2.99378910189e+000, +8.94040585643e+001, +9.96959138811e-005, +3.11382587374e-002
+4.81409900000e+003, +3.01589998107e+000, +8.94043463286e+001, +9.97007854049e-005, +3.13530866034e-002
+4.84941600000e+003, +3.03832143756e+000, +8.94060138932e+001, +9.97105404481e-005, +3.14977544635e-002
+4.88499300000e+003, +3.06060903597e+000, +8.94107653635e+001, +9.97105416851e-005, +3.14750070482e-002
+4.92083100000e+003, +3.08307713844e+000, +8.94087191853e+001, +9.97109711969e-005, +3.18161655341e-002
+4.95693200000e+003, +3.10561827399e+000, +8.94077201861e+001, +9.97084670943e-005, +3.21029274773e-002
+4.99329700000e+003, +3.12828845716e+000, +8.94096949129e+001, +9.97048938274e-005, +3.22294580306e-002
+5.02993000000e+003, +3.15118180165e+000, +8.94125137571e+001, +9.97031363056e-005, +3.23102946487e-002
+5.06683100000e+003, +3.17404602510e+000, +8.94119152997e+001, +9.96951556426e-005, +3.25778817748e-002
+5.10400300000e+003, +3.19706141703e+000, +8.94150480907e+001, +9.96867773001e-005, +3.26393097155e-002
+5.14144700000e+003, +3.22004486336e+000, +8.94226974256e+001, +9.96723379242e-005, +3.24440779265e-002
+5.17916600000e+003, +3.24327305317e+000, +8.94292945195e+001, +9.96603182418e-005, +3.23047022839e-002
+5.21716200000e+003, +3.26682168477e+000, +8.94341217214e+001, +9.96529265257e-005, +3.22640409738e-002
+5.25543700000e+003, +3.29051326686e+000, +8.94390907796e+001, +9.96446835071e-005, +3.22126649822e-002
+5.29399300000e+003, +3.31471312181e+000, +8.94432102694e+001, +9.96465368374e-005, +3.22112587286e-002
+5.33283100000e+003, +3.33977058654e+000, +8.94449640795e+001, +9.96686483072e-005, +3.23525339100e-002
+5.37195400000e+003, +3.36498079221e+000, +8.94434505619e+001, +9.96896214631e-005, +3.26856311972e-002
+5.41136500000e+003, +3.39022088604e+000, +8.94453216295e+001, +9.97059203784e-005, +3.28200931986e-002
+5.45106400000e+003, +3.41544603055e+000, +8.94466017689e+001, +9.97162688928e-005, +3.29879865526e-002
+5.49105500000e+003, +3.44037060568e+000, +8.94500598285e+001, +9.97124898714e-005, +3.30210875329e-002
+5.53133900000e+003, +3.46515761855e+000, +8.94563168673e+001, +9.96995726985e-005, +3.28805977160e-002
+5.57191800000e+003, +3.48966160665e+000, +8.94646361907e+001, +9.96735144647e-005, +3.26064391050e-002
