!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+4.25156400000e+003, +4.64336293025e+001, +8.18773729930e+001, +1.72077928460e-003, +6.56070949404e+000
+4.28275400000e+003, +4.67569191915e+001, +8.18332551122e+001, +1.71995133648e-003, +6.64202762131e+000
+4.31417400000e+003, +4.70826911187e+001, +8.17890121981e+001, +1.71913017282e-003, +6.72429079821e+000
+4.34582400000e+003, +4.74100988872e+001, +8.17449571238e+001, +1.71828639873e-003, +6.80712897927e+000
+4.37770600000e+003, +4.77409225238e+001, +8.16997060456e+001, +1.71747782757e-003, +6.89194057570e+000
+4.40982300000e+003, +4.80740294448e+001, +8.16554624596e+001, +1.71667164170e-003, +6.97675997162e+000
+4.44217400000e+003, +4.84090139244e+001, +8.16099429430e+001, +1.71584395026e-003, +7.06342461835e+000
+4.47476400000e+003, +4.87460438240e+001, +8.15637346086e+001, +1.71500169421e-003, +7.15149112618e+000
+4.50759200000e+003, +4.90854594663e+001, +8.15178300024e+001, +1.71416185660e-003, +7.24018527607e+000
+4.54066100000e+003, +4.94269665380e+001, +8.14706950116e+001, +1.71330630111e-003, +7.33077251671e+000
+4.57397300000e+003, +4.97700694264e+001, +8.14227057200e+001, +1.71241914481e-003, +7.42288224341e+000
+4.60752900000e+003, +5.01155957581e+001, +8.13748979733e+001, +1.71153361316e-003, +7.51576153023e+000
+4.64133100000e+003, +5.04637896109e+001, +8.13266607986e+001, +1.71065453964e-003, +7.60998182157e+000
+4.67538100000e+003, +5.08138311150e+001, +8.12779349269e+001, +1.70975320235e-003, +7.70548486464e+000
+4.70968100000e+003, +5.11670166794e+001, +8.12292375133e+001, +1.70887504623e-003, +7.80202511494e+000
+4.74423300000e+003, +5.15232374567e+001, +8.11798250283e+001, +1.70801187849e-003, +7.90025386261e+000
+4.77903800000e+003, +5.18813328306e+001, +8.11305754926e+001, +1.70712885804e-003, +7.99922713592e+000
+4.81409900000e+003, +5.22420660849e+001, +8.10807121377e+001, +1.70624676805e-003, +8.09976461864e+000
