Freq.	1/S21       v1)
9.40110332492243e+003	       1.39105781479327e+001       -1.08975150006296e+002       
9.40245626523656e+003	       1.39225960767014e+001       -1.08956773259316e+002       
9.40380940025630e+003	       1.39346046452822e+001       -1.08938435112198e+002       
9.40516273000965e+003	       1.39466038704880e+001       -1.08920135443046e+002       
9.40651625452466e+003	       1.39585937690938e+001       -1.08901874130459e+002       
9.40786997382934e+003	       1.39705743578372e+001       -1.08883651053536e+002       
9.40922388795174e+003	       1.39825456534184e+001       -1.08865466091867e+002       
9.41057799691988e+003	       1.39945076725002e+001       -1.08847319125533e+002       
9.41193230076181e+003	       1.40064604317081e+001       -1.08829210035106e+002       
9.41328679950557e+003	       1.40184039476305e+001       -1.08811138701642e+002       
9.41464149317921e+003	       1.40303382368184e+001       -1.08793105006683e+002       
9.41599638181079e+003	       1.40422633157859e+001       -1.08775108832251e+002       
9.41735146542835e+003	       1.40541792010102e+001       -1.08757150060849e+002       
9.41870674405997e+003	       1.40660859089313e+001       -1.08739228575454e+002       
9.42006221773371e+003	       1.40779834559526e+001       -1.08721344259522e+002       
9.42141788647764e+003	       1.40898718584405e+001       -1.08703496996976e+002       
9.42277375031982e+003	       1.41017511327247e+001       -1.08685686672213e+002       
9.42412980928834e+003	       1.41136212950985e+001       -1.08667913170096e+002       
9.42548606341128e+003	       1.41254823618182e+001       -1.08650176375954e+002       
9.42684251271672e+003	       1.41373343491041e+001       -1.08632476175577e+002       
9.42819915723275e+003	       1.41491772731395e+001       -1.08614812455219e+002       
9.42955599698747e+003	       1.41610111500719e+001       -1.08597185101590e+002       
9.43091303200897e+003	       1.41728359960121e+001       -1.08579594001858e+002       
9.43227026232536e+003	       1.41846518270349e+001       -1.08562039043643e+002       
9.43362768796473e+003	       1.41964586591789e+001       -1.08544520115019e+002       
9.43498530895521e+003	       1.42082565084465e+001       -1.08527037104510e+002       
9.43634312532490e+003	       1.42200453908044e+001       -1.08509589901084e+002       
9.43770113710192e+003	       1.42318253221831e+001       -1.08492178394158e+002       
9.43905934431439e+003	       1.42435963184774e+001       -1.08474802473590e+002       
9.44041774699044e+003	       1.42553583955462e+001       -1.08457462029681e+002       
