Freq.	1/S12         v1)
9.14886173331085e+003	         2.43254145331067e+001         8.62211799309639e+001         
9.15017837279875e+003	         2.43266929885998e+001         8.62216845757592e+001         
9.15149520176810e+003	         2.43279714359543e+001         8.62221891351835e+001         
9.15281222024615e+003	         2.43292498751726e+001         8.62226936092502e+001         
9.15412942826020e+003	         2.43305283062573e+001         8.62231979979731e+001         
9.15544682583750e+003	         2.43318067292105e+001         8.62237023013657e+001         
9.15676441300535e+003	         2.43330851440349e+001         8.62242065194415e+001         
9.15808218979103e+003	         2.43343635507328e+001         8.62247106522142e+001         
9.15940015622183e+003	         2.43356419493065e+001         8.62252146996972e+001         
9.16071831232503e+003	         2.43369203397586e+001         8.62257186619042e+001         
9.16203665812795e+003	         2.43381987220914e+001         8.62262225388487e+001         
9.16335519365786e+003	         2.43394770963073e+001         8.62267263305444e+001         
9.16467391894209e+003	         2.43407554624088e+001         8.62272300370045e+001         
9.16599283400793e+003	         2.43420338203982e+001         8.62277336582430e+001         
9.16731193888271e+003	         2.43433121702779e+001         8.62282371942731e+001         
9.16863123359373e+003	         2.43445905120504e+001         8.62287406451084e+001         
9.16995071816831e+003	         2.43458688457181e+001         8.62292440107626e+001         
9.17127039263379e+003	         2.43471471712832e+001         8.62297472912492e+001         
9.17259025701748e+003	         2.43484254887484e+001         8.62302504865816e+001         
9.17391031134673e+003	         2.43497037981159e+001         8.62307535967735e+001         
9.17523055564886e+003	         2.43509820993882e+001         8.62312566218383e+001         
9.17655098995121e+003	         2.43522603925676e+001         8.62317595617895e+001         
9.17787161428113e+003	         2.43535386776566e+001         8.62322624166408e+001         
9.17919242866596e+003	         2.43548169546575e+001         8.62327651864056e+001         
9.18051343313306e+003	         2.43560952235728e+001         8.62332678710974e+001         
9.18183462770979e+003	         2.43573734844049e+001         8.62337704707297e+001         
9.18315601242349e+003	         2.43586517371560e+001         8.62342729853161e+001         
9.18447758730154e+003	         2.43599299818288e+001         8.62347754148700e+001         
9.18579935237130e+003	         2.43612082184255e+001         8.62352777594050e+001         
9.18712130766015e+003	         2.43624864469485e+001         8.62357800189346e+001         
9.18844345319544e+003	         2.43637646674002e+001         8.62362821934722e+001         
9.18976578900458e+003	         2.43650428797831e+001         8.62367842830314e+001         
9.19108831511494e+003	         2.43663210840995e+001         8.62372862876256e+001         
9.19241103155390e+003	         2.43675992803517e+001         8.62377882072684e+001         
9.19373393834886e+003	         2.43688774685423e+001         8.62382900419732e+001         
9.19505703552721e+003	         2.43701556486736e+001         8.62387917917534e+001         
9.19638032311635e+003	         2.43714338207479e+001         8.62392934566227e+001         
9.19770380114368e+003	         2.43727119847677e+001         8.62397950365944e+001         
9.19902746963662e+003	         2.43739901407354e+001         8.62402965316820e+001         
9.20035132862256e+003	         2.43752682886533e+001         8.62407979418990e+001         
9.20167537812892e+003	         2.43765464285238e+001         8.62412992672589e+001         
9.20299961818313e+003	         2.43778245603493e+001         8.62418005077751e+001         
9.20432404881261e+003	         2.43791026841323e+001         8.62423016634611e+001         
9.20564867004477e+003	         2.43803807998750e+001         8.62428027343303e+001         
9.20697348190706e+003	         2.43816589075799e+001         8.62433037203962e+001         
9.20829848442690e+003	         2.43829370072493e+001         8.62438046216723e+001         
9.20962367763173e+003	         2.43842150988857e+001         8.62443054381719e+001         
9.21094906154900e+003	         2.43854931824914e+001         8.62448061699086e+001         
9.21227463620615e+003	         2.43867712580688e+001         8.62453068168957e+001         
9.21360040163064e+003	         2.43880493256203e+001         8.62458073791467e+001         
9.21492635784990e+003	         2.43893273851482e+001         8.62463078566751e+001         
9.21625250489141e+003	         2.43906054366549e+001         8.62468082494943e+001         
9.21757884278263e+003	         2.43918834801429e+001         8.62473085576177e+001         
