Freq.	1/S21       v1)
9.12388154827647e+003	       1.26866259390315e+001       -1.37951509826069e+002       
9.12519459279278e+003	       1.26973090937685e+001       -1.37905789860025e+002       
9.12650782627317e+003	       1.27079902317185e+001       -1.37860155186035e+002       
9.12782124874483e+003	       1.27186693362688e+001       -1.37814605623533e+002       
9.12913486023497e+003	       1.27293463909182e+001       -1.37769140992201e+002       
9.13044866077079e+003	       1.27400213792766e+001       -1.37723761111965e+002       
9.13176265037949e+003	       1.27506942850643e+001       -1.37678465803000e+002       
9.13307682908828e+003	       1.27613650921117e+001       -1.37633254885729e+002       
9.13439119692438e+003	       1.27720337843584e+001       -1.37588128180827e+002       
9.13570575391500e+003	       1.27827003458530e+001       -1.37543085509219e+002       
9.13702050008738e+003	       1.27933647607526e+001       -1.37498126692086e+002       
9.13833543546872e+003	       1.28040270133220e+001       -1.37453251550861e+002       
9.13965056008627e+003	       1.28146870879332e+001       -1.37408459907233e+002       
9.14096587396725e+003	       1.28253449690653e+001       -1.37363751583149e+002       
9.14228137713890e+003	       1.28360006413034e+001       -1.37319126400812e+002       
9.14359706962847e+003	       1.28466540893386e+001       -1.37274584182688e+002       
9.14491295146320e+003	       1.28573052979671e+001       -1.37230124751501e+002       
9.14622902267034e+003	       1.28679542520899e+001       -1.37185747930236e+002       
9.14754528327714e+003	       1.28786009367121e+001       -1.37141453542144e+002       
9.14886173331085e+003	       1.28892453369428e+001       -1.37097241410738e+002       
9.15017837279875e+003	       1.28998874379940e+001       -1.37053111359795e+002       
9.15149520176810e+003	       1.29105272251806e+001       -1.37009063213363e+002       
9.15281222024615e+003	       1.29211646839196e+001       -1.36965096795752e+002       
9.15412942826020e+003	       1.29317997997297e+001       -1.36921211931543e+002       
9.15544682583750e+003	       1.29424325582308e+001       -1.36877408445587e+002       
9.15676441300535e+003	       1.29530629451435e+001       -1.36833686163004e+002       
9.15808218979103e+003	       1.29636909462886e+001       -1.36790044909188e+002       
9.15940015622183e+003	       1.29743165475866e+001       -1.36746484509802e+002       
9.16071831232503e+003	       1.29849397350572e+001       -1.36703004790786e+002       
9.16203665812795e+003	       1.29955604948187e+001       -1.36659605578353e+002       
9.16335519365786e+003	       1.30061788130878e+001       -1.36616286698991e+002       
9.16467391894209e+003	       1.30167946761788e+001       -1.36573047979465e+002       
9.16599283400793e+003	       1.30274080705033e+001       -1.36529889246818e+002       
9.16731193888271e+003	       1.30380189825696e+001       -1.36486810328369e+002       
9.16863123359373e+003	       1.30486273989823e+001       -1.36443811051719e+002       
9.16995071816831e+003	       1.30592333064417e+001       -1.36400891244746e+002       
9.17127039263379e+003	       1.30698366917437e+001       -1.36358050735612e+002       
9.17259025701748e+003	       1.30804375417787e+001       -1.36315289352759e+002       
9.17391031134673e+003	       1.30910358435315e+001       -1.36272606924910e+002       
9.17523055564886e+003	       1.31016315840809e+001       -1.36230003281073e+002       
9.17655098995121e+003	       1.31122247505991e+001       -1.36187478250541e+002       
9.17787161428113e+003	       1.31228153303510e+001       -1.36145031662890e+002       
9.17919242866596e+003	       1.31334033106943e+001       -1.36102663347982e+002       
9.18051343313306e+003	       1.31439886790784e+001       -1.36060373135966e+002       
9.18183462770979e+003	       1.31545714230444e+001       -1.36018160857277e+002       
9.18315601242349e+003	       1.31651515302243e+001       -1.35976026342639e+002       
9.18447758730154e+003	       1.31757289883409e+001       -1.35933969423064e+002       
9.18579935237130e+003	       1.31863037852069e+001       -1.35891989929853e+002       
9.18712130766015e+003	       1.31968759087249e+001       -1.35850087694596e+002       
9.18844345319544e+003	       1.32074453468865e+001       -1.35808262549175e+002       
9.18976578900458e+003	       1.32180120877721e+001       -1.35766514325764e+002       
9.19108831511494e+003	       1.32285761195506e+001       -1.35724842856825e+002       
9.19241103155390e+003	       1.32391374304786e+001       -1.35683247975116e+002       
9.19373393834886e+003	       1.32496960089000e+001       -1.35641729513686e+002       
9.19505703552721e+003	       1.32602518432458e+001       -1.35600287305879e+002       
9.19638032311635e+003	       1.32708049220334e+001       -1.35558921185333e+002       
9.19770380114368e+003	       1.32813552338665e+001       -1.35517630985978e+002       
9.19902746963662e+003	       1.32919027674340e+001       -1.35476416542043e+002       
9.20035132862256e+003	       1.33024475115102e+001       -1.35435277688051e+002       
9.20167537812892e+003	       1.33129894549543e+001       -1.35394214258822e+002       
9.20299961818313e+003	       1.33235285867094e+001       -1.35353226089471e+002       
9.20432404881261e+003	       1.33340648958028e+001       -1.35312313015412e+002       
9.20564867004477e+003	       1.33445983713450e+001       -1.35271474872357e+002       
9.20697348190706e+003	       1.33551290025295e+001       -1.35230711496315e+002       
9.20829848442690e+003	       1.33656567786325e+001       -1.35190022723596e+002       
9.20962367763173e+003	       1.33761816890122e+001       -1.35149408390806e+002       
9.21094906154900e+003	       1.33867037231084e+001       -1.35108868334853e+002       
9.21227463620615e+003	       1.33972228704425e+001       -1.35068402392944e+002       
9.21360040163064e+003	       1.34077391206163e+001       -1.35028010402587e+002       
9.21492635784990e+003	       1.34182524633123e+001       -1.34987692201591e+002       
9.21625250489141e+003	       1.34287628882930e+001       -1.34947447628066e+002       
9.21757884278263e+003	       1.34392703854003e+001       -1.34907276520422e+002       
9.21890537155102e+003	       1.34497749445553e+001       -1.34867178717375e+002       
9.22023209122404e+003	       1.34602765557581e+001       -1.34827154057938e+002       
9.22155900182918e+003	       1.34707752090867e+001       -1.34787202381432e+002       
9.22288610339392e+003	       1.34812708946974e+001       -1.34747323527478e+002       
9.22421339594572e+003	       1.34917636028237e+001       -1.34707517336000e+002       
9.22554087951208e+003	       1.35022533237763e+001       -1.34667783647227e+002       
9.22686855412050e+003	       1.35127400479427e+001       -1.34628122301692e+002       
9.22819641979845e+003	       1.35232237657866e+001       -1.34588533140231e+002       
9.22952447657344e+003	       1.35337044678474e+001       -1.34549016003986e+002       
9.23085272447297e+003	       1.35441821447401e+001       -1.34509570734403e+002       
9.23218116352455e+003	       1.35546567871550e+001       -1.34470197173232e+002       
9.23350979375568e+003	       1.35651283858566e+001       -1.34430895162530e+002       
9.23483861519388e+003	       1.35755969316841e+001       -1.34391664544660e+002       
9.23616762786667e+003	       1.35860624155502e+001       -1.34352505162288e+002       
9.23749683180156e+003	       1.35965248284415e+001       -1.34313416858388e+002       
9.23882622702609e+003	       1.36069841614172e+001       -1.34274399476241e+002       
9.24015581356777e+003	       1.36174404056097e+001       -1.34235452859432e+002       
9.24148559145415e+003	       1.36278935522232e+001       -1.34196576851854e+002       
9.24281556071275e+003	       1.36383435925342e+001       -1.34157771297707e+002       
9.24414572137113e+003	       1.36487905178906e+001       -1.34119036041497e+002       
9.24547607345683e+003	       1.36592343197115e+001       -1.34080370928037e+002       
