!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:05:22 2026

BEGIN CH1_DATA
DCV(V), +3.442e-004, DCI(A), +3.352e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+4.25156400000e+003, +6.83733314761e-001, +8.90575145681e+001, +2.55917151089e-005, +1.12465461347e-002
+4.28275400000e+003, +6.88242602155e-001, +8.90880087104e+001, +2.55731093498e-005, +1.09544674947e-002
+4.31417400000e+003, +6.92817049022e-001, +8.91214137792e+001, +2.55558293355e-005, +1.06233943138e-002
+4.34582400000e+003, +6.97485274929e-001, +8.91434920487e+001, +2.55408010112e-005, +1.04262380073e-002
+4.37770600000e+003, +7.02531744786e-001, +8.91729630674e+001, +2.55384331006e-005, +1.01403546295e-002
+4.40982300000e+003, +7.07870859636e-001, +8.91901507377e+001, +2.55452186084e-005, +1.00050930473e-002
+4.44217400000e+003, +7.13072501239e-001, +8.91997753385e+001, +2.55455875180e-005, +9.95884260156e-003
+4.47476400000e+003, +7.18343987878e-001, +8.92142125086e+001, +2.55471002989e-005, +9.85147649838e-003
+4.50759200000e+003, +7.23714763584e-001, +8.92157970431e+001, +2.55506695100e-005, +9.90511941428e-003
+4.54066100000e+003, +7.28970967249e-001, +8.92034828011e+001, +2.55487300111e-005, +1.01337169254e-002
+4.57397300000e+003, +7.34223323376e-001, +8.91766135164e+001, +2.55452327722e-005, +1.05510171453e-002
+4.60752900000e+003, +7.39639856576e-001, +8.91537587767e+001, +2.55461224129e-005, +1.09238583722e-002
+4.64133100000e+003, +7.45046424677e-001, +8.91369116899e+001, +2.55453377425e-005, +1.12227557764e-002
+4.67538100000e+003, +7.50700608989e-001, +8.91202808852e+001, +2.55516352214e-005, +1.15258005606e-002
+4.70968100000e+003, +7.56254790060e-001, +8.91084018364e+001, +2.55531351889e-005, +1.17678505275e-002
+4.74423300000e+003, +7.62177872980e-001, +8.91125409085e+001, +2.55657395245e-005, +1.18049643913e-002
+4.77903800000e+003, +7.68097907854e-001, +8.91130169556e+001, +2.55766810479e-005, +1.18902755924e-002
+4.81409900000e+003, +7.73995337285e-001, +8.91117986595e+001, +2.55853447642e-005, +1.19980244249e-002
+4.84941600000e+003, +7.79878236076e-001, +8.91198767948e+001, +2.55921192586e-005, +1.19792757056e-002
+4.88499300000e+003, +7.85797968470e-001, +8.91140138623e+001, +2.55985379908e-005, +1.21506045941e-002
+4.92083100000e+003, +7.91610192462e-001, +8.91117360716e+001, +2.56000531074e-005, +1.22719442615e-002
+4.95693200000e+003, +7.97431764767e-001, +8.91057439836e+001, +2.56004619672e-005, +1.24455798923e-002
+4.99329700000e+003, +8.03083709950e-001, +8.90989829034e+001, +2.55940991110e-005, +1.26285449875e-002
+5.02993000000e+003, +8.08878447597e-001, +8.90978153171e+001, +2.55910209753e-005, +1.27361490915e-002
+5.06683100000e+003, +8.14743182815e-001, +8.91074574801e+001, +2.55889078958e-005, +1.26913976717e-002
+5.10400300000e+003, +8.20389115581e-001, +8.91150722531e+001, +2.55786311298e-005, +1.26703264150e-002
+5.14144700000e+003, +8.26000945052e-001, +8.91410877379e+001, +2.55662194386e-005, +1.23819899851e-002
+5.17916600000e+003, +8.31862001227e-001, +8.91592601244e+001, +2.55602342712e-005, +1.22060379252e-002
+5.21716200000e+003, +8.37644880700e-001, +8.91759553859e+001, +2.55505838995e-005, +1.20468376888e-002
