!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+4.18986200000e+003, +6.60743687859e-001, +8.89296959270e+001, +2.50944485581e-005, +1.23421923410e-002
+4.22060000000e+003, +6.65000468359e-001, +8.89522109245e+001, +2.50723628355e-005, +1.21604312812e-002
+4.25156400000e+003, +6.69240685254e-001, +8.90002090007e+001, +2.50488402659e-005, +1.16774195923e-002
+4.28275400000e+003, +6.73625072343e-001, +8.90431474740e+001, +2.50296444742e-005, +1.12491687326e-002
+4.31417400000e+003, +6.78080268828e-001, +8.90723636957e+001, +2.50118985943e-005, +1.09778486345e-002
+4.34582400000e+003, +6.82607569392e-001, +8.91012455657e+001, +2.49957207745e-005, +1.07070961619e-002
+4.37770600000e+003, +6.87686811651e-001, +8.91195858968e+001, +2.49984430723e-005, +1.05666655858e-002
+4.40982300000e+003, +6.92747108770e-001, +8.91433067373e+001, +2.49991444951e-005, +1.03576506475e-002
+4.44217400000e+003, +6.97875199885e-001, +8.91521521702e+001, +2.50008503152e-005, +1.03265962143e-002
+4.47476400000e+003, +7.03032511305e-001, +8.91604498133e+001, +2.50022319816e-005, +1.03011069953e-002
+4.50759200000e+003, +7.08341336890e-001, +8.91625011118e+001, +2.50075831592e-005, +1.03535367222e-002
+4.54066100000e+003, +7.13407374928e-001, +8.91587979413e+001, +2.50029837391e-005, +1.04736893041e-002
+4.57397300000e+003, +7.18663558601e-001, +8.91285911674e+001, +2.50035646057e-005, +1.09296990981e-002
+4.60752900000e+003, +7.23825591876e-001, +8.91048242027e+001, +2.49995954102e-005, +1.13084209012e-002
+4.64133100000e+003, +7.29363195201e-001, +8.90864526111e+001, +2.50072668254e-005, +1.16287729508e-002
+4.67538100000e+003, +7.34644661075e-001, +8.90637245255e+001, +2.50047469111e-005, +1.20043600575e-002
+4.70968100000e+003, +7.40172410373e-001, +8.90545350657e+001, +2.50093497915e-005, +1.22133830152e-002
+4.74423300000e+003, +7.45935882354e-001, +8.90626129267e+001, +2.50205870390e-005, +1.22033327177e-002
+4.77903800000e+003, +7.51759282394e-001, +8.90681742415e+001, +2.50323146628e-005, +1.22256436559e-002
+4.81409900000e+003, +7.57513708068e-001, +8.90620113339e+001, +2.50401779403e-005, +1.24006958363e-002
+4.84941600000e+003, +7.63307892181e-001, +8.90658910655e+001, +2.50479809195e-005, +1.24438683309e-002
+4.88499300000e+003, +7.69047250514e-001, +8.90689752888e+001, +2.50525461406e-005, +1.24960423164e-002
+4.92083100000e+003, +7.74747319568e-001, +8.90627216427e+001, +2.50543795373e-005, +1.26732110932e-002
+4.95693200000e+003, +7.80408403650e-001, +8.90552761928e+001, +2.50535959355e-005, +1.28672128693e-002
+4.99329700000e+003, +7.86095624818e-001, +8.90477560985e+001, +2.50523303357e-005, +1.30641438319e-002
+5.02993000000e+003, +7.91730292586e-001, +8.90511835522e+001, +2.50481641556e-005, +1.31104314565e-002
+5.06683100000e+003, +7.97368324513e-001, +8.90587422696e+001, +2.50428692166e-005, +1.30986147209e-002
+5.10400300000e+003, +8.03072460224e-001, +8.90674494597e+001, +2.50383909591e-005, +1.30702924014e-002
+5.14144700000e+003, +8.08422827006e-001, +8.90952091379e+001, +2.50218365708e-005, +1.27657428215e-002
+5.17916600000e+003, +8.13907155536e-001, +8.91004177003e+001, +2.50081540446e-005, +1.27783651029e-002
+5.21716200000e+003, +8.19832537818e-001, +8.91276441142e+001, +2.50069439124e-005, +1.24818636612e-002
+5.25543700000e+003, +8.25691236265e-001, +8.91437052836e+001, +2.50023291966e-005, +1.23396300565e-002
